application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Streaming,2077,13,9,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
E-Commerce,2476,632,3,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
News Portal,159841,11670,631,us-east,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Portfolio,217104,14672,591,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
Banking,255195,664,897,asia-south,16,32,Azure,F4s_v2,0.169,High,121.68
News Portal,1982,114,808,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
ERP,513,6,227,europe-west,2,4,AWS,t3.medium,0.0416,High,29.95
Banking,6253,6253,102,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
CRM,2023,167,5,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
ERP,201538,33077,1621,europe-west,16,32,GCP,n2-standard-8,0.388,High,279.36
Banking,266,20,617,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
ERP,28505,10,1193,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Blog,239983,6,4983,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,416579,34460,4039,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
News Portal,32369,250,15,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
E-Commerce,337918,81377,1616,us-east,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
CRM,362,362,518,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
E-Commerce,3325,286,2264,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Portfolio,214,214,3889,us-east,1,2,AWS,t3.small,0.0208,Low,14.98
CRM,431552,43330,36,europe-west,8,16,AWS,c5.2xlarge,0.34,Low,244.8
ERP,233583,26,86,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
Healthcare,249,18,6,asia-south,2,4,GCP,e2-medium,0.033,High,23.76
Streaming,230,7,2,us-east,2,4,GCP,e2-medium,0.033,High,23.76
Portfolio,3532,49,1363,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Banking,1512,44,2122,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
CRM,150958,9013,5,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
E-Commerce,702,53,6,asia-south,1,2,Azure,B2s,0.05,Low,36.0
Social Media,97187,195,6,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Portfolio,15313,1131,25,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,3832,377,2814,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Blog,625,32,58,asia-south,1,2,AWS,t3.small,0.0208,Medium,14.98
ERP,491049,17,273,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
News Portal,25172,17,19,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Social Media,6223,51,3,us-east,2,4,Azure,B2s,0.05,Low,36.0
CRM,3648,307,66,us-east,2,4,AWS,t3.medium,0.0416,Low,29.95
Social Media,239133,1840,74,europe-west,16,32,GCP,n2-standard-8,0.388,High,279.36
Social Media,123421,18484,57,asia-south,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
ERP,114128,7,12,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Social Media,24822,483,40,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Healthcare,208091,64,3,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
Healthcare,2080,86,1174,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Portfolio,49224,2026,134,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,4735,175,1521,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
E-Commerce,21867,172,1432,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,492826,46029,433,asia-south,16,32,GCP,n2-standard-8,0.388,Medium,279.36
E-Commerce,442982,35898,56,asia-south,16,32,Azure,F4s_v2,0.169,High,121.68
Social Media,11038,16,10,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Blog,17823,2180,66,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,223911,13266,177,europe-west,16,32,AWS,c5.2xlarge,0.34,High,244.8
News Portal,446849,22034,63,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
News Portal,88449,7788,844,us-east,8,16,GCP,n2-standard-8,0.388,Low,279.36
Portfolio,333,15,2260,us-east,2,4,AWS,t3.medium,0.0416,High,29.95
CRM,2497,343,1927,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,222585,7518,71,us-east,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Healthcare,81629,2992,1949,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
News Portal,66542,14000,89,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
Streaming,37204,2974,30,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
CRM,5153,361,1474,us-east,4,8,AWS,m5.xlarge,0.192,Low,138.24
Streaming,4691,52,443,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
Streaming,112133,1398,58,asia-south,16,32,GCP,n2-standard-8,0.388,High,279.36
Blog,1992,71,24,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
E-Commerce,42467,2629,5,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,58701,173,15,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
E-Commerce,148177,495,3,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
CRM,2443,131,45,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Portfolio,66363,914,37,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Portfolio,460,27,65,europe-west,2,4,AWS,t3.medium,0.0416,High,29.95
CRM,589,10,220,asia-south,1,2,AWS,t3.small,0.0208,Low,14.98
Social Media,5237,669,404,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Streaming,308,17,74,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
Blog,332087,20437,1203,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
News Portal,232069,2218,15,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
Streaming,293,6,2,asia-south,2,4,AWS,t3.medium,0.0416,High,29.95
Portfolio,141112,18397,14,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Streaming,10719,443,3,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
Streaming,48558,2861,607,europe-west,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Blog,206428,18676,61,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Streaming,18262,249,94,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,497,18,2,asia-south,1,2,AWS,t3.small,0.0208,Medium,14.98
ERP,204,204,12,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
Portfolio,9762,581,18,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Blog,336096,11498,116,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
ERP,17651,901,50,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
CRM,3700,70,66,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Banking,255,19,10,europe-west,1,2,Azure,B2s,0.05,Low,36.0
Healthcare,257084,19691,27,asia-south,16,32,Azure,F4s_v2,0.169,High,121.68
Healthcare,2586,1225,27,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,49639,6,61,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
Banking,45709,4364,2168,us-east,16,32,AWS,c5.2xlarge,0.34,High,244.8
Social Media,1458,90,1895,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Blog,329,329,4006,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Healthcare,4067,548,2241,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Social Media,2391,21,178,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Blog,47914,4205,60,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,122068,30,10,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
Healthcare,1140,346,602,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Banking,12472,6417,455,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
Healthcare,275,275,48,us-east,2,4,Azure,B2s,0.05,Low,36.0
CRM,1069,16,4728,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
Portfolio,77527,1710,3,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
E-Commerce,99300,1292,382,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Streaming,86937,8109,11,us-east,16,32,Azure,F4s_v2,0.169,High,121.68
Streaming,609,112,1360,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
News Portal,14908,880,279,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
Banking,5462,553,676,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
Portfolio,467779,18568,15,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
CRM,33383,22,189,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,301155,31077,300,us-east,16,32,GCP,n2-standard-8,0.388,High,279.36
CRM,624,23,553,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
Social Media,6809,861,391,europe-west,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
ERP,83735,4281,15,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
E-Commerce,3556,9,382,us-east,1,2,Azure,B2s,0.05,Low,36.0
ERP,28200,3793,2080,europe-west,16,32,GCP,n2-standard-8,0.388,High,279.36
Blog,10959,714,3943,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
E-Commerce,469404,192,34,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
Blog,780,152,49,us-east,2,4,Azure,B2s,0.05,Medium,36.0
News Portal,301501,649,26,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
News Portal,4630,2217,883,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Portfolio,7785,728,61,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
CRM,12508,509,3,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
News Portal,1595,373,647,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,376253,14840,2001,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
Banking,250155,15,446,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Streaming,404486,17755,3,europe-west,8,16,AWS,c5.2xlarge,0.34,Low,244.8
Banking,488093,27921,6,us-east,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
E-Commerce,37755,34,15,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
CRM,6852,66,49,europe-west,2,4,Azure,B2s,0.05,Low,36.0
Portfolio,155515,11929,1702,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
CRM,241,143,775,us-east,2,4,Azure,B2s,0.05,Medium,36.0
CRM,136863,5975,67,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
E-Commerce,9790,1508,249,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
ERP,38779,3417,1117,us-east,16,32,Azure,F4s_v2,0.169,High,121.68
Healthcare,3733,189,712,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
ERP,3578,177,613,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Portfolio,256,16,4,asia-south,1,2,GCP,e2-small,0.017,Low,12.24
Portfolio,5509,59,655,europe-west,1,2,AWS,t3.small,0.0208,Low,14.98
Portfolio,4882,325,2196,us-east,4,8,Azure,D4s_v3,0.192,High,138.24
ERP,1161,131,3,europe-west,2,4,AWS,t3.medium,0.0416,Medium,29.95
Banking,1385,24,19,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Blog,19315,2239,2726,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
ERP,2403,277,40,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,132488,8451,37,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
ERP,478,478,209,us-east,2,4,GCP,e2-medium,0.033,Low,23.76
Banking,18358,555,119,us-east,8,16,GCP,n2-standard-8,0.388,High,279.36
ERP,700,22,1297,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
Banking,12473,21,2,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
CRM,15085,12718,437,us-east,4,8,Azure,D4s_v3,0.192,Low,138.24
Portfolio,30445,580,46,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,5668,8,70,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
Healthcare,10769,59,95,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,824,36,1048,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Banking,7487,105,164,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,3703,3703,14,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
News Portal,36686,115,25,us-east,2,4,Azure,B2s,0.05,Low,36.0
Healthcare,6005,812,1427,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,88958,3659,44,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,5604,145,611,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
CRM,1265,188,268,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
News Portal,1702,274,19,europe-west,2,4,AWS,t3.medium,0.0416,Medium,29.95
Healthcare,285,31,9,us-east,1,2,Azure,B2s,0.05,Medium,36.0
Blog,13666,677,439,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Blog,133141,6550,116,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
CRM,82116,12,666,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Banking,6146,523,578,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
E-Commerce,928,77,31,us-east,2,4,Azure,B2s,0.05,Medium,36.0
CRM,171830,6509,4907,europe-west,8,16,Azure,F4s_v2,0.169,Low,121.68
News Portal,312,17,2773,europe-west,2,4,Azure,B2s,0.05,High,36.0
Healthcare,4545,118,67,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
News Portal,162838,12,32,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
ERP,4335,8,61,us-east,2,4,AWS,t3.medium,0.0416,Low,29.95
Social Media,503,236,6,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,1602,11,218,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,21872,740,2931,asia-south,8,16,GCP,n2-standard-8,0.388,Low,279.36
E-Commerce,657,20,9,us-east,1,2,GCP,e2-small,0.017,Medium,12.24
CRM,33609,12708,534,europe-west,8,16,AWS,c5.2xlarge,0.34,High,244.8
Social Media,6164,6164,229,asia-south,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Blog,2737,118,7,asia-south,1,2,GCP,e2-small,0.017,Low,12.24
News Portal,1317,91,102,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
CRM,125504,8,4345,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
News Portal,4456,205,22,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,64616,616,3491,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
CRM,6271,95,100,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
ERP,410,410,2543,us-east,2,4,GCP,e2-medium,0.033,Low,23.76
Portfolio,6278,94,3509,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
E-Commerce,10620,407,33,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Streaming,7190,1471,602,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
Blog,118733,7845,338,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Portfolio,248913,13,172,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
Portfolio,94288,1592,12,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Blog,19111,23,177,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
News Portal,13831,29,4,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
CRM,31002,1667,643,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
News Portal,1901,1901,3023,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
Blog,114719,68,20,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,163136,9547,55,asia-south,16,32,GCP,n2-standard-8,0.388,High,279.36
CRM,1618,553,19,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
E-Commerce,233750,335,48,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
ERP,153099,9029,36,us-east,16,32,AWS,c5.2xlarge,0.34,High,244.8
Portfolio,5539,604,4264,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,245334,16300,2,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Portfolio,513,513,410,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
E-Commerce,249,8,822,europe-west,2,4,AWS,t3.medium,0.0416,High,29.95
E-Commerce,3041,255,7,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
Streaming,16686,811,126,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
News Portal,3128,543,26,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,317775,235,10,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Healthcare,1467,40,38,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Banking,1805,307,6,us-east,2,4,Azure,B2s,0.05,Low,36.0
Banking,28717,297,843,us-east,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Streaming,206,6,2,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
CRM,59323,1052,782,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
ERP,3834,564,4,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Portfolio,420106,9999,64,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
Streaming,44712,2181,15,europe-west,8,16,GCP,n2-standard-8,0.388,Low,279.36
Healthcare,301,43,295,us-east,1,2,GCP,e2-small,0.017,Low,12.24
Blog,413,41,3785,asia-south,2,4,Azure,B2s,0.05,High,36.0
E-Commerce,399,76,10,europe-west,1,2,Azure,B2s,0.05,Low,36.0
Banking,345130,1110,322,asia-south,16,32,AWS,c5.2xlarge,0.34,High,244.8
CRM,42208,8629,95,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
CRM,5676,2467,892,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,960,960,149,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
News Portal,186040,9730,80,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
Blog,968,99,1171,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
Blog,50383,4132,3537,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
Healthcare,78480,113,3376,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
CRM,2006,2006,5,asia-south,2,4,Azure,B2s,0.05,Low,36.0
Portfolio,10392,1479,2497,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
CRM,1145,835,291,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,3878,87,3060,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
Banking,380626,3963,530,europe-west,16,32,Azure,F4s_v2,0.169,High,121.68
E-Commerce,45318,2702,9,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
Streaming,150582,9420,677,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
Streaming,13739,1099,6,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
CRM,1298,751,85,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,52887,3001,7,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
Healthcare,10045,108,522,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Banking,798,86,40,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
ERP,5040,210,4764,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Streaming,28720,2494,539,asia-south,8,16,Azure,F4s_v2,0.169,Low,121.68
Streaming,63044,3738,3259,europe-west,16,32,Azure,F4s_v2,0.169,Medium,121.68
Social Media,1341,20,4389,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,189503,6506,1408,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Healthcare,3897,334,333,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Blog,1669,73,232,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
ERP,921,69,119,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Social Media,108033,59,16,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
Blog,3195,1558,778,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,8782,1656,21,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Streaming,1143,1143,24,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
E-Commerce,42887,329,461,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
ERP,90144,1064,148,us-east,8,16,GCP,n2-standard-8,0.388,Low,279.36
Streaming,2847,183,1127,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
ERP,325352,79,47,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,254,254,244,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
Portfolio,566,566,15,us-east,1,2,AWS,t3.small,0.0208,Low,14.98
Portfolio,20031,1032,547,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
E-Commerce,48347,2209,100,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
Healthcare,1422,146,2,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
Healthcare,15266,324,945,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
Portfolio,2415,239,7,europe-west,1,2,AWS,t3.small,0.0208,Low,14.98
News Portal,15268,78,14,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,34785,3681,838,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
Banking,404179,44431,12,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
