application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Portfolio,1809,28,10,asia-south,1,2,GCP,e2-small,0.0168,Low,12.1
E-Commerce,61333,1244,71,us-west,4,8,GCP,n2-standard-4,0.1981,High,142.63
Streaming,467397,3307,3431,us-east,16,32,AWS,c5.2xlarge,0.3317,High,238.82
ERP,36946,1948,499,asia-south,4,8,GCP,n2-standard-4,0.1988,Medium,143.14
Healthcare,86351,833,221,asia-south,4,8,GCP,n2-standard-4,0.1885,High,135.72
E-Commerce,28206,3577,62,us-east,2,4,GCP,e2-medium,0.0333,Medium,23.98
Streaming,460195,15491,2532,asia-south,16,32,AWS,c5.2xlarge,0.3334,High,240.05
E-Commerce,96917,1085,245,asia-south,4,8,GCP,n2-standard-4,0.1908,High,137.38
Portfolio,1858,35,4,us-west,1,2,GCP,e2-small,0.0174,Low,12.53
Banking,101660,3000,940,us-west,8,16,GCP,n2-standard-8,0.3781,High,272.23
ERP,68438,596,437,us-east,4,8,Azure,D4s_v3,0.1889,High,136.01
Healthcare,48025,1341,135,asia-south,4,8,AWS,m5.xlarge,0.1894,Medium,136.37
CRM,51025,1513,180,us-east,4,8,GCP,n2-standard-4,0.1933,High,139.18
Social Media,193617,1904,972,asia-south,8,16,GCP,n2-standard-8,0.3766,High,271.15
CRM,28405,1389,296,asia-south,2,4,Azure,B2s,0.0495,Medium,35.64
Portfolio,322,43,7,us-east,1,2,Azure,B2s,0.0487,Low,35.06
Streaming,278796,18758,1447,asia-south,16,32,Azure,F4s_v2,0.1719,High,123.77
News Portal,54828,2286,61,us-east,4,8,Azure,D4s_v3,0.1904,High,137.09
Healthcare,5221,2329,375,us-west,2,4,Azure,B2s,0.05,Medium,36.0
ERP,105478,2266,135,asia-south,8,16,AWS,c5.2xlarge,0.3333,High,239.98
Streaming,376712,12286,1520,us-west,16,32,AWS,c5.2xlarge,0.3446,High,248.11
CRM,71469,833,220,asia-south,4,8,GCP,n2-standard-4,0.196,High,141.12
Streaming,260973,11688,1542,us-west,16,32,Azure,F4s_v2,0.1733,High,124.78
Healthcare,92153,1752,446,asia-south,4,8,GCP,n2-standard-4,0.191,High,137.52
E-Commerce,85676,4862,204,us-east,4,8,GCP,n2-standard-4,0.1909,High,137.45
Social Media,457112,1013,1744,us-east,16,32,GCP,n2-standard-8,0.3972,High,285.98
ERP,122692,2875,410,asia-south,8,16,GCP,n2-standard-8,0.3822,High,275.18
Streaming,293787,16476,4122,us-east,16,32,GCP,n2-standard-8,0.3831,High,275.83
ERP,144001,2438,476,asia-south,8,16,GCP,n2-standard-8,0.3893,High,280.3
Blog,5149,151,47,asia-south,2,4,AWS,t3.medium,0.041,Medium,29.52
News Portal,92867,965,110,asia-south,4,8,GCP,n2-standard-4,0.1885,High,135.72
CRM,34444,1851,100,us-west,4,8,Azure,D4s_v3,0.1914,Medium,137.81
Portfolio,194,20,8,us-west,1,2,AWS,t3.small,0.0208,Low,14.98
Blog,7961,126,45,us-west,2,4,AWS,t3.medium,0.0417,Medium,30.02
ERP,110657,2524,304,us-east,8,16,Azure,F4s_v2,0.1643,High,118.3
E-Commerce,90990,245,434,us-west,4,8,Azure,D4s_v3,0.1911,High,137.59
Blog,7465,76,16,us-west,2,4,AWS,t3.medium,0.0413,Medium,29.74
Social Media,263557,2645,2783,us-west,16,32,GCP,n2-standard-8,0.3924,High,282.53
Blog,7978,54,34,us-east,2,4,GCP,e2-medium,0.0333,Medium,23.98
Social Media,313037,11397,2312,us-east,16,32,Azure,F4s_v2,0.1688,High,121.54
Social Media,243735,18952,2326,us-west,8,16,AWS,c5.2xlarge,0.3382,High,243.5
E-Commerce,67216,3886,182,asia-south,4,8,GCP,n2-standard-4,0.1896,High,136.51
ERP,82695,2635,348,us-west,4,8,GCP,n2-standard-4,0.1974,High,142.13
ERP,81984,2301,139,asia-south,4,8,GCP,n2-standard-4,0.1893,High,136.3
CRM,35735,756,135,us-west,4,8,AWS,m5.xlarge,0.1897,Medium,136.58
Social Media,62245,5534,1117,us-west,4,8,GCP,n2-standard-4,0.1953,High,140.62
Healthcare,95957,825,461,us-east,4,8,GCP,n2-standard-4,0.1986,High,142.99
Blog,7297,124,26,asia-south,2,4,AWS,t3.medium,0.0405,Medium,29.16
Banking,118992,1010,311,us-east,8,16,AWS,c5.2xlarge,0.3312,High,238.46
Healthcare,56049,2592,456,asia-south,4,8,GCP,n2-standard-4,0.1917,High,138.02
News Portal,104714,4107,51,us-west,8,16,AWS,c5.2xlarge,0.3299,High,237.53
Streaming,206559,14779,3932,us-west,8,16,Azure,F4s_v2,0.169,High,121.68
Social Media,439361,8226,2499,asia-south,16,32,AWS,c5.2xlarge,0.3447,High,248.18
CRM,62125,1194,57,asia-south,4,8,Azure,D4s_v3,0.1918,High,138.1
Streaming,400682,15248,1852,asia-south,16,32,Azure,F4s_v2,0.1655,High,119.16
Banking,43456,4875,127,us-west,4,8,Azure,D4s_v3,0.1976,Medium,142.27
Healthcare,82580,2511,439,us-west,4,8,GCP,n2-standard-4,0.1915,High,137.88
Blog,7522,54,34,us-west,2,4,AWS,t3.medium,0.0408,Medium,29.38
Portfolio,632,29,6,us-west,1,2,AWS,t3.small,0.0203,Low,14.62
Banking,95680,3264,879,asia-south,4,8,GCP,n2-standard-4,0.1952,High,140.54
Healthcare,41471,1926,229,asia-south,4,8,GCP,n2-standard-4,0.192,Medium,138.24
Blog,8205,24,39,asia-south,2,4,Azure,B2s,0.0505,Medium,36.36
Streaming,167556,4248,829,us-west,8,16,Azure,F4s_v2,0.1707,High,122.9
Portfolio,606,17,1,asia-south,1,2,AWS,t3.small,0.0203,Low,14.62
E-Commerce,36266,1234,292,us-west,4,8,AWS,m5.xlarge,0.1868,Medium,134.5
Blog,9740,75,34,us-west,2,4,GCP,e2-medium,0.0321,Medium,23.11
CRM,53351,543,205,us-west,4,8,GCP,n2-standard-4,0.1941,High,139.75
Blog,3183,99,11,asia-south,2,4,AWS,t3.medium,0.0418,Low,30.1
Portfolio,738,41,7,asia-south,1,2,GCP,e2-small,0.0172,Low,12.38
ERP,29922,2925,453,us-east,2,4,AWS,t3.medium,0.0415,Medium,29.88
ERP,36712,1735,450,asia-south,4,8,AWS,m5.xlarge,0.1965,Medium,141.48
Blog,9772,30,27,us-east,2,4,AWS,t3.medium,0.0426,Medium,30.67
Healthcare,91706,1717,135,asia-south,4,8,AWS,m5.xlarge,0.1877,High,135.14
Streaming,56633,15764,4515,asia-south,4,8,GCP,n2-standard-4,0.1892,High,136.22
Healthcare,52472,2803,335,asia-south,4,8,GCP,n2-standard-4,0.1956,High,140.83
E-Commerce,62080,1642,425,asia-south,4,8,GCP,n2-standard-4,0.1948,High,140.26
CRM,75539,1786,173,us-east,4,8,Azure,D4s_v3,0.1902,High,136.94
Healthcare,82656,1299,265,asia-south,4,8,AWS,m5.xlarge,0.1953,High,140.62
ERP,32718,1642,330,us-east,4,8,Azure,D4s_v3,0.1932,Medium,139.1
Banking,159382,3604,444,asia-south,8,16,Azure,F4s_v2,0.1718,High,123.7
Banking,95200,1989,599,us-west,4,8,Azure,D4s_v3,0.187,High,134.64
Streaming,468293,10465,3288,us-west,16,32,Azure,F4s_v2,0.1712,High,123.26
News Portal,77422,4753,52,us-east,4,8,Azure,D4s_v3,0.1926,High,138.67
ERP,32442,1488,468,asia-south,4,8,AWS,m5.xlarge,0.1925,Medium,138.6
Banking,155536,2468,807,us-west,8,16,AWS,c5.2xlarge,0.3459,High,249.05
Banking,127486,641,195,asia-south,8,16,Azure,F4s_v2,0.1717,High,123.62
ERP,116011,1496,256,us-east,8,16,Azure,F4s_v2,0.1643,High,118.3
News Portal,101736,4076,191,us-east,8,16,GCP,n2-standard-8,0.3902,High,280.94
Streaming,273086,12839,3382,asia-south,16,32,Azure,F4s_v2,0.171,High,123.12
Banking,81019,3011,357,us-west,4,8,GCP,n2-standard-4,0.1893,High,136.3
Blog,3655,100,12,us-west,2,4,GCP,e2-medium,0.0329,Low,23.69
Social Media,419606,7066,1284,us-west,16,32,Azure,F4s_v2,0.1714,High,123.41
Banking,82482,4797,711,us-west,4,8,AWS,m5.xlarge,0.1878,High,135.22
Blog,3680,95,19,asia-south,2,4,AWS,t3.medium,0.0414,Low,29.81
E-Commerce,44618,315,412,asia-south,4,8,AWS,m5.xlarge,0.1975,Medium,142.2
E-Commerce,40954,572,77,asia-south,4,8,AWS,m5.xlarge,0.1956,Medium,140.83
CRM,21551,1506,272,us-east,2,4,AWS,t3.medium,0.0424,Medium,30.53
Banking,36892,600,687,asia-south,4,8,Azure,D4s_v3,0.1927,Medium,138.74
Banking,135492,4108,448,us-west,8,16,Azure,F4s_v2,0.1734,High,124.85
Portfolio,617,35,2,us-west,1,2,Azure,B2s,0.05,Low,36.0
Blog,7065,145,9,us-east,2,4,GCP,e2-medium,0.032,Medium,23.04
Portfolio,410,14,10,asia-south,1,2,Azure,B2s,0.0496,Low,35.71
CRM,16164,708,80,us-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Healthcare,84471,2641,416,us-east,4,8,Azure,D4s_v3,0.1962,High,141.26
Social Media,219427,15762,2313,us-east,8,16,Azure,F4s_v2,0.1659,High,119.45
News Portal,117415,2701,195,us-east,8,16,Azure,F4s_v2,0.1691,High,121.75
Portfolio,1348,11,4,asia-south,1,2,AWS,t3.small,0.0212,Low,15.26
ERP,79375,832,180,us-east,4,8,GCP,n2-standard-4,0.1883,High,135.58
E-Commerce,77350,814,130,us-east,4,8,AWS,m5.xlarge,0.1972,High,141.98
Healthcare,64048,2632,340,us-east,4,8,AWS,m5.xlarge,0.1934,High,139.25
Portfolio,574,23,5,us-east,1,2,GCP,e2-small,0.0172,Low,12.38
Banking,28659,2412,370,us-east,2,4,Azure,B2s,0.0513,Medium,36.94
News Portal,56857,3682,79,us-west,4,8,Azure,D4s_v3,0.1905,High,137.16
ERP,49056,1588,172,asia-south,4,8,AWS,m5.xlarge,0.1962,Medium,141.26
Portfolio,439,24,10,us-east,1,2,AWS,t3.small,0.0213,Low,15.34
News Portal,80657,3797,81,asia-south,4,8,GCP,n2-standard-4,0.1928,High,138.82
CRM,57757,757,178,us-west,4,8,AWS,m5.xlarge,0.1974,High,142.13
Banking,124755,1158,712,asia-south,8,16,GCP,n2-standard-8,0.3975,High,286.2
Healthcare,47247,2672,228,us-west,4,8,Azure,D4s_v3,0.1872,Medium,134.78
Blog,4250,192,41,us-west,2,4,Azure,B2s,0.0497,Low,35.78
Portfolio,1666,48,5,asia-south,1,2,GCP,e2-small,0.0169,Low,12.17
Portfolio,1662,16,8,asia-south,1,2,Azure,B2s,0.049,Low,35.28
Banking,82917,1986,699,us-west,4,8,Azure,D4s_v3,0.1941,High,139.75
Banking,33918,4350,456,asia-south,4,8,GCP,n2-standard-4,0.1886,Medium,135.79
Streaming,218326,5427,1817,us-west,8,16,Azure,F4s_v2,0.1661,High,119.59
Healthcare,95921,2229,247,us-east,4,8,GCP,n2-standard-4,0.1966,High,141.55
Healthcare,77102,350,332,us-east,4,8,AWS,m5.xlarge,0.1935,High,139.32
Streaming,182329,12593,1449,us-east,8,16,AWS,c5.2xlarge,0.3432,High,247.1
Healthcare,72449,204,436,us-west,4,8,GCP,n2-standard-4,0.1901,High,136.87
Social Media,262208,14541,722,us-west,16,32,Azure,F4s_v2,0.1711,High,123.19
Social Media,209676,17334,2310,us-west,8,16,AWS,c5.2xlarge,0.3475,High,250.2
Portfolio,516,22,9,us-west,1,2,GCP,e2-small,0.0166,Low,11.95
CRM,62424,1630,174,us-west,4,8,GCP,n2-standard-4,0.1942,High,139.82
Portfolio,1390,43,4,us-west,1,2,AWS,t3.small,0.0212,Low,15.26
E-Commerce,45730,4712,57,us-east,4,8,GCP,n2-standard-4,0.1927,Medium,138.74
Healthcare,17217,1120,158,us-east,2,4,AWS,t3.medium,0.0405,Medium,29.16
Blog,3022,147,50,us-east,2,4,AWS,t3.medium,0.042,Low,30.24
Social Media,389838,9959,2201,asia-south,16,32,GCP,n2-standard-8,0.3819,High,274.97
Banking,133789,2496,567,us-west,8,16,Azure,F4s_v2,0.1701,High,122.47
E-Commerce,55277,1761,356,asia-south,4,8,Azure,D4s_v3,0.188,High,135.36
E-Commerce,14150,2463,445,us-west,2,4,Azure,B2s,0.0493,Medium,35.5
Healthcare,49548,2279,236,us-west,4,8,Azure,D4s_v3,0.191,Medium,137.52
Portfolio,679,24,10,asia-south,1,2,AWS,t3.small,0.0211,Low,15.19
Banking,48953,4158,651,us-west,4,8,Azure,D4s_v3,0.1876,Medium,135.07
Streaming,224294,19807,3590,us-east,8,16,GCP,n2-standard-8,0.3886,High,279.79
Streaming,148908,9825,3637,us-west,8,16,Azure,F4s_v2,0.168,High,120.96
Healthcare,10720,1503,481,us-west,2,4,Azure,B2s,0.0501,Medium,36.07
Healthcare,55604,2918,433,us-east,4,8,Azure,D4s_v3,0.187,High,134.64
Banking,19704,1534,614,us-east,2,4,AWS,t3.medium,0.0428,Medium,30.82
News Portal,92030,1022,162,us-east,4,8,Azure,D4s_v3,0.1975,High,142.2
Social Media,497333,15972,562,us-east,16,32,GCP,n2-standard-8,0.381,High,274.32
E-Commerce,58736,1464,88,asia-south,4,8,AWS,m5.xlarge,0.1947,High,140.18
CRM,49375,1476,227,us-west,4,8,GCP,n2-standard-4,0.1975,Medium,142.2
Blog,5883,192,39,asia-south,2,4,GCP,e2-medium,0.0328,Medium,23.62
Streaming,378623,17989,4932,us-west,16,32,AWS,c5.2xlarge,0.3332,High,239.9
News Portal,22936,2123,123,us-east,2,4,AWS,t3.medium,0.0412,Medium,29.66
Blog,7610,45,45,asia-south,2,4,AWS,t3.medium,0.0414,Medium,29.81
Blog,7769,62,49,asia-south,2,4,GCP,e2-medium,0.0328,Medium,23.62
Portfolio,194,25,1,us-east,1,2,AWS,t3.small,0.0207,Low,14.9
Streaming,246524,16112,1692,asia-south,8,16,Azure,F4s_v2,0.171,High,123.12
Social Media,236033,19544,1237,asia-south,8,16,GCP,n2-standard-8,0.3915,High,281.88
E-Commerce,15350,3333,367,asia-south,2,4,Azure,B2s,0.0511,Medium,36.79
ERP,140460,2888,173,us-west,8,16,AWS,c5.2xlarge,0.3461,High,249.19
Banking,177222,2580,570,us-east,8,16,AWS,c5.2xlarge,0.3474,High,250.13
Portfolio,1940,34,5,us-west,1,2,GCP,e2-small,0.017,Low,12.24
Social Media,102824,3420,2309,us-east,8,16,Azure,F4s_v2,0.1686,High,121.39
Streaming,358056,11802,3975,asia-south,16,32,Azure,F4s_v2,0.1732,High,124.7
CRM,64878,1931,127,asia-south,4,8,AWS,m5.xlarge,0.1969,High,141.77
Healthcare,68335,636,221,us-west,4,8,Azure,D4s_v3,0.1867,High,134.42
News Portal,99098,4908,125,us-west,4,8,GCP,n2-standard-4,0.1965,High,141.48
CRM,7875,1899,218,us-west,2,4,GCP,e2-medium,0.0339,Medium,24.41
CRM,6061,1359,271,us-west,2,4,AWS,t3.medium,0.0414,Medium,29.81
Portfolio,1964,43,8,asia-south,1,2,AWS,t3.small,0.0211,Low,15.19
CRM,35162,1443,255,us-west,4,8,GCP,n2-standard-4,0.1988,Medium,143.14
ERP,59841,1526,447,us-west,4,8,Azure,D4s_v3,0.1875,High,135.0
E-Commerce,87345,995,371,us-east,4,8,AWS,m5.xlarge,0.1918,High,138.1
Portfolio,732,33,1,asia-south,1,2,AWS,t3.small,0.0206,Low,14.83
Streaming,433967,6306,1238,asia-south,16,32,GCP,n2-standard-8,0.3943,High,283.9
CRM,47823,1730,156,us-west,4,8,Azure,D4s_v3,0.1871,Medium,134.71
ERP,44644,2709,287,us-east,4,8,GCP,n2-standard-4,0.1929,Medium,138.89
Social Media,498930,9930,1173,us-east,16,32,AWS,c5.2xlarge,0.3481,High,250.63
Banking,87369,3274,923,us-east,4,8,AWS,m5.xlarge,0.1951,High,140.47
Banking,29739,1653,872,us-east,2,4,GCP,e2-medium,0.0339,Medium,24.41
ERP,114179,2782,287,us-west,8,16,GCP,n2-standard-8,0.3915,High,281.88
Healthcare,6824,1283,374,us-west,2,4,AWS,t3.medium,0.0413,Medium,29.74
Banking,106622,2647,698,us-west,8,16,Azure,F4s_v2,0.1641,High,118.15
Streaming,106804,9661,4362,us-west,8,16,GCP,n2-standard-8,0.3936,High,283.39
News Portal,90984,2013,66,asia-south,4,8,Azure,D4s_v3,0.1869,High,134.57
Banking,193783,2975,764,asia-south,8,16,GCP,n2-standard-8,0.3948,High,284.26
Blog,2790,31,7,us-west,1,2,GCP,e2-small,0.0166,Low,11.95
Banking,40440,1296,340,us-west,4,8,AWS,m5.xlarge,0.1918,Medium,138.1
Social Media,91127,13735,2358,us-east,4,8,Azure,D4s_v3,0.1876,High,135.07
Social Media,239743,6063,2199,asia-south,8,16,GCP,n2-standard-8,0.3899,High,280.73
Blog,8517,177,31,asia-south,2,4,GCP,e2-medium,0.0336,Medium,24.19
CRM,9288,1613,144,asia-south,2,4,Azure,B2s,0.0513,Medium,36.94
Banking,126574,2434,975,us-west,8,16,GCP,n2-standard-8,0.3772,High,271.58
Blog,6518,159,46,us-west,2,4,AWS,t3.medium,0.0426,Medium,30.67
Portfolio,915,22,4,asia-south,1,2,Azure,B2s,0.0498,Low,35.86
Banking,34031,2237,757,us-east,4,8,GCP,n2-standard-4,0.1964,Medium,141.41
News Portal,10598,614,135,us-east,2,4,Azure,B2s,0.0515,Medium,37.08
E-Commerce,79000,1881,85,asia-south,4,8,GCP,n2-standard-4,0.1894,High,136.37
Social Media,128610,8076,1454,us-west,8,16,GCP,n2-standard-8,0.3833,High,275.98
E-Commerce,83116,223,191,us-east,4,8,Azure,D4s_v3,0.1915,High,137.88
E-Commerce,22038,4625,178,us-west,2,4,GCP,e2-medium,0.0336,Medium,24.19
E-Commerce,19408,411,117,us-west,2,4,AWS,t3.medium,0.0423,Medium,30.46
Streaming,464179,9796,3152,us-west,16,32,GCP,n2-standard-8,0.3915,High,281.88
E-Commerce,39782,629,114,us-west,4,8,Azure,D4s_v3,0.1966,Medium,141.55
Healthcare,73955,665,481,us-east,4,8,AWS,m5.xlarge,0.1966,High,141.55
Banking,127512,3465,625,us-east,8,16,GCP,n2-standard-8,0.3982,High,286.7
Blog,7905,148,19,asia-south,2,4,GCP,e2-medium,0.0322,Medium,23.18
News Portal,16367,4471,127,us-west,2,4,AWS,t3.medium,0.0408,Medium,29.38
Portfolio,224,35,7,us-east,1,2,GCP,e2-small,0.0174,Low,12.53
Blog,8532,133,9,asia-south,2,4,AWS,t3.medium,0.0411,Medium,29.59
Blog,5777,175,14,asia-south,2,4,AWS,t3.medium,0.0408,Medium,29.38
E-Commerce,41046,4995,330,us-west,4,8,GCP,n2-standard-4,0.1967,Medium,141.62
Streaming,249703,19385,2915,us-east,8,16,Azure,F4s_v2,0.1722,High,123.98
Social Media,337418,15096,906,asia-south,16,32,GCP,n2-standard-8,0.3833,High,275.98
Blog,9533,75,32,us-west,2,4,AWS,t3.medium,0.0405,Medium,29.16
ERP,118478,1888,332,us-east,8,16,Azure,F4s_v2,0.1737,High,125.06
Healthcare,17463,1480,318,asia-south,2,4,Azure,B2s,0.0489,Medium,35.21
CRM,54060,512,225,us-west,4,8,AWS,m5.xlarge,0.192,High,138.24
Banking,27598,1247,951,asia-south,2,4,AWS,t3.medium,0.0424,Medium,30.53
Blog,7575,44,28,us-west,2,4,GCP,e2-medium,0.0332,Medium,23.9
E-Commerce,77924,691,350,us-west,4,8,GCP,n2-standard-4,0.1942,High,139.82
Social Media,314483,11801,1000,asia-south,16,32,GCP,n2-standard-8,0.3803,High,273.82
Streaming,398830,15858,921,asia-south,16,32,AWS,c5.2xlarge,0.3466,High,249.55
CRM,45953,920,76,asia-south,4,8,GCP,n2-standard-4,0.1899,Medium,136.73
Social Media,131536,6070,2475,us-west,8,16,Azure,F4s_v2,0.1664,High,119.81
Blog,6236,162,28,us-east,2,4,AWS,t3.medium,0.0426,Medium,30.67
